Part,ID,Value,Device,PDF
-_BT_TP_+,35,,PINHD-1X4,
C1,5,100nF,C-EU050-025X075,
C2,5,100nF,C-EU050-025X075,
C3,8,100µF,CPOL-EUE2.5-6E,
C4,8,100µF,CPOL-EUE2.5-6E,
C5,8,100µF,CPOL-EUE2.5-6E,
C6,8,100µF,CPOL-EUE2.5-6E,
C7,8,100µF,CPOL-EUE2.5-5,
C8,8,100µF,CPOL-EUE2.5-5,
D1,10,,P6KEXXC,http://pdf.datasheetcatalog.com/datasheet/wte/P6KE24CA.pdf
D2,10,,P6KEXXC,http://pdf.datasheetcatalog.com/datasheet/wte/P6KE24CA.pdf
DC1,40,,RD-0515D,http://www.xppower.com/pdfs/sf_ih.pdf
DC2,40,,RD-0515D,http://www.xppower.com/pdfs/sf_ih.pdf
IC1,33,,HCPL3120,http://pdf.datasheetcatalog.com/datasheet/hp/HCPL-3120.pdf
IC2,33,,HCPL3120,http://pdf.datasheetcatalog.com/datasheet/hp/HCPL-3120.pdf
R1,21,220R,R-EU_0207/10,
R2,21,220R,R-EU_0207/10,
R3,22,4.7R,R-EU_0309/12,
R4,19,10k,R-EU_0207/10,
R5,19,10k,R-EU_0207/10,
R6,22,4.7R,R-EU_0309/12,
