Part,ID,Value,Device,PDF
IL1_IL2_UDC_TMPHS_VCC,35,,PINHD-1X8,
C1,5,100nF,C-EU025-024X044,
C2,8,100µ,CPOL-EUE2-5,
C3,2,1µ*,C-EU025-024X044,
C4,,100nF**,C-EU025-024X044,
C5,,100nF**,C-EU025-024X044,
C6,2,1µ*,C-EU025-024X044,
C7,2,1µ*,C-EU025-024X044,
IC1,32,,LM2902N,http://www.ti.com/lit/ds/symlink/lm2902.pdf
IC2,47,*,ATTINY13DIP,http://www.atmel.com/images/doc2535.pdf
PWS1,48,*,ROE-0505S,
OK1,49,*,PC817,
R1,23,680k,R-EU_0207/10,
R3,23,680k,R-EU_0207/10,
R5,19,10k,R-EU_0207/10,
R6,24,100k 1%,R-EU_0207/10,
R7,24,100k 1%,R-EU_0207/10,
R8,19,10k,R-EU_0207/10,
R9,24,100k 1%,R-EU_0207/10,
R10,24,100k 1%,R-EU_0207/10,
R11,19,10k,R-EU_0207/10,
R12,16,1.2k,R-EU_0207/10,
R13,29,3.3k 1%,R-EU_0207/10,
R14,28,4.7k 1%,R-EU_0207/10,
R15,18,500R*,R-EU_0207/10,
R16,18,500R*,R-EU_0207/10,
R17,19,10k*,R-EU_0207/10,
TMPHS,35,,PINHD-1X2,
U$1,41,,L06P800S05,http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/L06PXXXS05.pdf
U$2,41,,L06P800S05,http://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/L06PXXXS05.pdf
