Part,Value,Package,PDF
C1,20pf,'0805,
C2,20p,'0805,
C3,10µ,'0805,
C4,10µ,'0805,
C5,10n,'0805,
C6,20p,'0805,
D1,SUPPRESSOR-SMBJ,SMBJ,
D2,SUPPRESSOR-SMBJ,SMBJ,
IC1,MEGA8-AI,TQFP32-08,
IC2,RS485SOIC,SO08,
IN,2060-402,2060-402,
J1,RJ45,RJ45-8,
J2,RJ45,RJ45-8,
JP1,pinhead,2X05,
JP2,pinhead,1X02,
JP3,pinhead,1X02,
OK1,4N25SM,DIL6-SMD,
OK2,4N25SM,DIL6-SMD,
OUT,2060-402,2060-402,
POWER,LED,'0805,
R1,270R,'0805,
R2,4k7,'0805,
R3,1M,'0805,
R4,100k,'0805,
R5,270R,'0805,
R6,270R,'0805,
R10,4k7,'0805,
STATUS,LED,'0805,
T3,BC847ALT1SMD,SOT23,
Y1,CRYSTAL,SMD-10.5X4.8-2PIN,
