Ref Name,Qty,Component,Value,Manufacturer,MPN,RS Part Number,Farnell Part Number,Description,
T2,1,-NPN-TO92-EBC,,DIODES INC.,ZTX857,,9524967,"ZTX857  Bipolar (BJT) Single Transistor, NPN, 300 V, 80 MHz, 1.2 W, 3 A, 200 hFE",
T3,1,-NPN-TO92-EBC,,DIODES INC.,ZTX857,,9524967,"ZTX857  Bipolar (BJT) Single Transistor, NPN, 300 V, 80 MHz, 1.2 W, 3 A, 200 hFE",
T4,1,-NPN-TO92-EBC,,DIODES INC.,ZTX857,,9524967,"ZTX857  Bipolar (BJT) Single Transistor, NPN, 300 V, 80 MHz, 1.2 W, 3 A, 200 hFE",
T5,1,-NPN-TO92-EBC,,DIODES INC.,ZTX857,,9524967,"ZTX857  Bipolar (BJT) Single Transistor, NPN, 300 V, 80 MHz, 1.2 W, 3 A, 200 hFE",
CONN7,1,2tb,,RS PRO,494-8956,494-8956,,"RS Pro 5mm Pitch Straight PCB Terminal Block with Screw Termination, Through Hole, 2 Way",
CONN9,1,4Sil,,Harwin,M20-9993646,,1022264,"HARWIN  M20-9993646  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, M20 Series, Through Hole, 1 Rows",
CONN6,1,4waysil,,Harwin,M20-9993646,,1022264,"HARWIN  M20-9993646  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, M20 Series, Through Hole, 1 Rows",
CONN8,1,4waysil,,Harwin,M20-9993646,,1022264,"HARWIN  M20-9993646  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, M20 Series, Through Hole, 1 Rows",
CONN4,1,6sil,,Harwin,M20-9993646,,1022264,"HARWIN  M20-9993646  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, M20 Series, Through Hole, 1 Rows",
RN1,1,8R-N,3.9k,Bourns,4116R-1-392LF,,1902586,"BOURNS  4116R-1-392LF  Fixed Network Resistor, 3.9 kohm, 100 V, 8 Elements, Isolated, DIP, 250 mW  ",
CONN1,1,8SIL,,Molex,70543-0007,,2679893,"MOLEX  70543-0007  Wire-To-Board Connector, Shrouded, 2.54 mm, 8 Contacts, Header, SL 70543 Series, Through Hole",
CONN2,1,8SIL,,Molex,70543-0007,,2679893,"MOLEX  70543-0007  Wire-To-Board Connector, Shrouded, 2.54 mm, 8 Contacts, Header, SL 70543 Series, Through Hole",
CONN3,1,8SIL,,Molex,70543-0007,,2679893,"MOLEX  70543-0007  Wire-To-Board Connector, Shrouded, 2.54 mm, 8 Contacts, Header, SL 70543 Series, Through Hole",
CONN10,1,8SIL,,Harwin,M20-9993646,,1022264,"HARWIN  M20-9993646  Board-To-Board Connector, 2.54 mm, 36 Contacts, Header, M20 Series, Through Hole, 1 Rows",
IC2,1,74F20,74F20,Texas Instruments,SN74F20N,,1750019,TEXAS INSTRUMENTS  SN74F20N  Quad NAND Gate,
U1,1,ACPL-C87A,,Broadcom,ACPL-C87AT-000E,830-4987,2313196,"Broadcom ACPL-C87AT-000E, Isolation Amplifier, 3 _ 5.5 V, 8-Pin SOIC",
IC3,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
IC4,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
IC6,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
IC7,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
IC8,1,ACPL337J,,Avago Technologies,ACPL-337J-000E,818-8256,,"ACPL-337J-000E DC Input IGBT Gate Drive Output Optocoupler, Surface Mount, 16-Pin SO",
