Ref Name,Value,Package,PDF
CONN1,6SIL,,
IC1,ACPL-337J,16-Pin SO,
IC2,ACPL-337J,16-Pin SO,
C9,1uF,'0805,
C10,1uF,'0805,
C11,1uF,'0805,
C12,1uF,'0805,
C13,1uF,'0805,
C14,1uF,'0805,
C21,1uF,'0805,
C22,1uF,'0805,
C3,100nF,'0805,
C4,100nF,'0805,
C15,220pF,'0805,
C16,220pF,'0805,
C17,330pF,'0805,
C18,330pF,'0805,
C19,330pF,'0805,
C20,330pF,'0805,
C1,100uF,,
C2,100uF,,
C5,100uF,,
C6,100uF,,
C7,100uF,,
C8,100uF,,
DC1,MGJ2D051505SC,,
DC2,MGJ2D051505SC,,
D1,ES1J,SMB,
D2,ES1J,SMB,
U1,BAT42WS-7-F,SOD-323,
U2,BAT42WS-7-F,SOD-323,
R4,1k,'0805,
R5,1k,'0805,
R10,10k,'0805,
R11,10k,'0805,
R12,10k,'0805,
R13,10k,'0805,
R6,150R,'0805,
R7,150R,'0805,
R8,150R,'0805,
R9,150R,'0805,
R1,4.7R,1W 5%,
R2,4.7R,1W 5%,
ZD1,TBD,ZENER_SMB,
ZD2,TBD,ZENER_SMB,
