Ref Name,Value,Package,PDF
T2,STX724,TO-92,
T3,STX724,TO-92,
T4,STX724,TO-92,
T5,STX724,TO-92,
CONN1,6SIL,,
CONN2,6SIL,,
CONN3,6SIL,,
RN1,3.9k,DIP-16,
CONN4,8SIL,,
IC2,74AC132N,DIP-14,
JP5,776163-1,35-Pin,
T6,BC547,TO-92,
T1,BC547,TO-92,
T7,BC547,TO-92,
C2,1uF,,
C3,1uF,,
C4,1uF,,
C5,1uF,,
C6,1uF,,
C7,1uF,,
C8,1uF,,
C9,1uF,,
C11,1uF,,
C12,1uF,,
C15,1uF,,
C16,1uF,,
C17,1uF,,
C23,1uF,,
C22,1uF,,
C24,1uF,,
C1,22nF,,
C13,22nF,,
C14,22nF,,
C18,0.1uF,,
C19,0.1uF,,
C10,10uF,4x4 mm,
C20,220uF,4x4 mm,
C21,680uF,5x5 mm,
RN3,330R,SIP-8,
L1,50uH,TJ3-U1,
IC1,LM339N,DIP-14,
IC5,LM2596TV,TO220-51,
JP6,PINHD-1X4,1x4,
JP1,PINHD-2X13,2x13,
JP2,PINHD-2X13,2x13,
R1,1k,,
R3,1.2k,,
R11,1.2k,,
R15,1.2k,,
R21,1.2k,,
R19,3.3k,,
R20,6.6k,,
R7,10k,,
R9,10k,,
R14,10k,,
R16,10k,,
R17,10k,,
R18,10k,,
R25,10k,,
R26,10k,,
R12,10k,,
R13,10k,,
R24,33k,,
R23,47k,,
R4,120R,,
R8,120R,,
R10,120R,,
R5,500R,,
R6,500R,,
RN2,1.2k,RN-9,
D1,SB540E-G,DO201T15,
