Ref Name,Value,Package,PDF
CONN3,2TB,DSC,
CONN2,8SIL,DSC,
U1,ACPL-C87A,SM,
C6,10nF,103,
C7,10nF,103,
C11,10nF,103,
C12,10nF,103,
C13,47nF,473,
C14,47nF,473,
C8,100nF,104,
C9,100nF,104,
C10,100nF,104,
C5,10nF,'0805,
C3,100nF,'0805,
C4,100nF,'0805,
C2,100uF,5x5 mm,
U2,MEJ1S0505SC,,
U1,TAMURA_L01Z_S05,HTFS 800-P,
U2,TAMURA_L01Z_S05,HTFS 800-P,
R16,1M2,,
R17,1M2,,
R12,1.2k,,
R13,3.3k,,
R14,4.7k,,
R8,10k,,
R11,10k,,
R15,10k,,
R18,10k,,
R19,10k,,
R20,10k,,
R21,10k,,
R6,100k,,
R7,100k,,
R9,100k,,
R10,100k,,
IC1,LM2902NG,DIP-14,
CONN1,,DSC,
