Part,Value,Package,PDF
C1,100nF,104,pcb/Capacitor-Tags.pdf
C2,100nF,104,pcb/Capacitor-Tags.pdf
C3,100uF,6x6,
C4,100uF,6x6,
C5,100uF,6x6,
C6,100uF,6x6,
C7,100uF,6x6,
C8,100uF,6x6,
D1,P6KE15CA,DO-204AC,https://www.st.com/resource/en/datasheet/p6ke.pdf
D2,P6KE15CA,DO-204AC,https://www.st.com/resource/en/datasheet/p6ke.pdf
DC1,RH-0515D/IH0515S,,https://www.recom-power.com/pdf/Econoline/RK_RH.pdf
DC2,RH-0515D/IH0515S,,https://www.recom-power.com/pdf/Econoline/RK_RH.pdf
IC1,Si8261BBC/HCPL3120,,https://pdf.datasheetcatalog.com/datasheet/hp/HCPL-3120.pdf
IC2,Si8261BBC/HCPL3120,,https://pdf.datasheetcatalog.com/datasheet/hp/HCPL-3120.pdf
R1,220R,1/4W,
R2,220R,1/4W,
R3,10R,1/2W,
R4,10k,1/4W,
R5,10k,1/4W,
R6,10R,1/2W,
