Ref Name,Qty,Value,Component,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
CONN9,1,,2SIL,DSC,,,,,
CONN8,1,,3WAY_SIL,DIL,,,,,
CONN7,1,,6DSIL,DSC,,,,,
IC11,1,,74HCT4052D,SOIC127P600X175-16N,NXP,74HCT4052D,4836730,,"74HCT4052D, Multiplexer/Demultiplexer Dual 4:1, 5 V, 16-Pin, SOIC, 2"
CONN2,1,,75757-5101,HDRV20W120P600X350_2X10_3500X9,Molex,75757-5101,,,Headers & Wire Housings MX150 2X10 VERT HEAD HEADER ASSY 2.5 TIN
L1,1,,7447709470,WE-PD_1260/1245/1280/121054,Würth Elektronik,7447709470,,,SMD-Shielded Power Inductors WE-PD
IC10,1,,ADM3101EARQZ,SOP64P600X175-16N,Analog Devices,ADM3101EARQZ,7097966,,"ADM3101EARQZ, Line Transceiver, EIA-232-E, RS-232, V.28, 3.3 V, 16-Pin QSOP"
C41,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C23,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C24,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C106,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C44,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C42,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C43,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C45,1,0.1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C18,1,1nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C19,1,1nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C20,1,1nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C33,1,1nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C34,1,1nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C21,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C22,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C25,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C26,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C28,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C29,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C30,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C31,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C32,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C57,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C58,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C59,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C60,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C61,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C62,1,1uF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C46,1,10nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C47,1,10nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C48,1,10nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C49,1,10nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C50,1,10nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C1,1,27pF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C2,1,27pF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C105,1,47nF,C-USC0805,C0805,,,,,"CAPACITOR, American symbol"
C3,1,100uF,Cap_el,DSC,,,,,
IC5,1,,CD74HC30M,SOIC127P600X175-14N,Texas Instruments,CD74HC30M,526824,,"CD74HC30M, Logic Gate 8 Input NAND, HC, 5.2mA 2 to 6V 14-Pin SOIC"
X2,1,32.768kHz,CRYSTALTC26HM,TC26H-M,,,,,CrystalsVarious standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534
C36,1,0.1uF,C_0805,C0805,,,,,NON-POLARIZED CAP
C4,1,0.1uF,C_0805,C0805,,,,,NON-POLARIZED CAP
C8,1,0.1uF,C_0805,C0805,,,,,NON-POLARIZED CAP
C10,1,0.1uF,C_0805,C0805,,,,,NON-POLARIZED CAP
