Ref Name,Qty,Component,Value,Manufacturer,MPN,Farnell Part Number,Mouser Part number
"CONN9,8,7,SWPROG",4,2SIL,,,,,
IC11,1,74HCT4052D,,NXP,74HCT4052D,4836730,
CONN2,1,75757-5101,,Molex,75757-5101,,538-75757-5101
L1,1,7447709470,,Wurth Elektronik,7447709470,1635946,
IC10,1,ADM3101EARQZ,,Analog Devices,ADM3101EARQZ,7097966,
"C41,23,24,106,44,42,43,45,36,4,8,10,11,16",14,C-USC0805,0.1uF,MURATA,GRM219R71C104KA01D,2611934,
"C18,19,20,33,34",5,C-USC0805,1nF,MULTICOMP,MCSH21B102K160CT,1856432,
"C21,22,25,26,28,29,30,31,32,57,58,59,60,61,62,6,7,14,15,37",20,C-USC0805,1uF,KEMET,C0805C105K4RACTU,9227792,
"C46,47,48,49,50",5,C-USC0805,10nF,Wurth Elektronik,8.85012E+11,2534055,
"C1,2",2,C-USC0805,27pF,MULTICOMP,MC0805N270J500CT,1759196,
C105,1,C-USC0805,47nF,YAGEO (PHYCOMP),CC0805KRX7R9BB473,718683,
C3,1,Cap_el,100uF,MULTICOMP,MCMR6V3107M6.3X7,9452567,
IC5,1,CD74HC30M,,Texas Instruments,CD74HC30M,526824,
X2,1,CRYSTALTC26HM,32.768kHz,RALTRON,R26-32.768- 12.5,1652573,
"C12,13",2,C_0805,10pF,Wurth Elektronik,8.85012E+11,2533859,
"C5,9,17",3,C_0805,10uF,MURATA,GRM21BR61E106KA73L,1735530,
C38,1,EEEFK1A221XP,220uF,Panasonic,EEEFK1A221XP,7083342,
C35,1,EEVEB2C680SM,680uF,Panasonic,EEVEB2C680SM,2326340,667-EEV-EB2C680SM
"C27,39",2,C-USC0805,50pF,YAGEO (PHYCOMP),CC0805JRNPO9BN470,1362560,
CONN1,1,FDU_IGBT_CONN,,3M,929975-01-36,828-2058,
LD1,1,LD1117SOT223,LD1117-3.3,STMICROELECTRONICS,LD1117S33CTR,1467779,
"LED1,2",2,LED0805,,MULTICOMP,MCL-S270GC,1581242,
X1,1,LFXTAL011301,8.00MHz,IQD,LFXTAL011301,4789656,
IC8,1,LM2596S-5.0_NOPB,,Texas Instruments,LM2596S-5.0/NOPB,5333692,
IC4,1,LM2901DT,,STMicroelectronics,LM2901DT,7140745,
L2,1,L_PM0603,10uH,TDK,MLZ1608M100WT,2215635,
"D1,D2",2,MBRS540T3G,,ON Semiconductor,MBRS540T3G,1250012,
IC12,1,MC74HCT573ADWR2G,,ON Semiconductor,MC74HCT573ADWR2G,2814898,863-MC74HCT573ADWR2G
IC7,1,MCP602-I_SN,,Microchip,MCP602-I/SN,3792588,
Q1,1,MMBT3904,,Fairchild Semiconductor,MMBT3904,7390303,
"R8,6,38,39,40,41,43,35",8,R-US_R0805,1k,MULTICOMP,MC01W080551K,9333711,
"R24,26,28,32,33",5,R-US_R0805,1K5,Panasonic,ERJ6RBD1501V,2380317,
"R3,7,17",3,R-US_R0805,3K3,Panasonic,ERJ6RBD3301V,2380370,
R48,1,R-US_R0805,3K16,Panasonic,ERJ6ENF3161V,2303602,
"R47,23,25,27,31,34,11",7,R-US_R0805,4K7,Panasonic,ERJ6RBD4701V,2380397,
"R2,4,9,10,12,14,15,46,51,1,18,19,20,21,29,30,36,37,13,22",20,R-US_R0805,10k,BOURNS,CRT0805-FZ-1002ELF,2008317,
"R64,65,66",3,R-US_R0805,15k,WELWYN,ASC0805-15KFT5,2078963,
"R16,55,62,63",4,R-US_R0805,47K,Panasonic,ERJ6RBD4702V,2380398,
"R69,70",2,R-US_R0805,60R4,TE CONNECTIVITY,RN73C2A60R4BTDF,2688288RL,
"R45,50",2,R-US_R0805,100K,MULTICOMP,MC01W08055100K,9333738,
"R44,49",2,R-US_R0805,75K,MULTICOMP,MCWR08X7502FTL,2447720,
R42,1,R-US_R0805,100R,MULTICOMP,MC01W08055100R,9333703,
R5,1,R-US_R0805,470R,Panasonic,ERJ6RBD4700V,2380396,
"R56,57,58,59,60",5,R-US_R0805,560R,VISHAY,CRCW0805560RFKEA,1469945,
"CONN3,4",2,S02BA-AIT2-1AK,,JST Automotive,S02BA-AIT2-1AK,,306-S02BA-AIT2-1AK
CONN5,1,S06B-AIT2-1AK,,JST Automotive,S06B-AIT2-1AK,,306-S06B-AIT2-1AK
IC9,1,SN65HVD234,SN65HVD234,TEXAS INSTRUMENTS,SN65HVD234D,1212363,
IC1,1,STM32F103,STM32F103RBT6,STMICROELECTRONICS,STM32F103RBT6,1447640,
CONN6,1,T821120A1S100CEU,,AMPHENOL,T821120A1S100CEU,8323499,
"IC13,IC14",2,NCV8401ADTRKG,,ON Semiconductor,NCV8401ADTRKG,8079877,
