PIN NUMBER,OEM,OPEN SOURCE,COMMENTS
1,IGN +12V,IGN +12V,
2,BRAKE ON N.O.,BRAKE ON,
3,BRAKE OFF N.C.,PRECHARGE RELAY,
4,CAN HIGH,CAN HIGH,JUMPER SELECTABLE CAN OR RS232 TX
5,CAN LOW,CAN LOW,JUMPER SELECTABLE CAN OR RS232 RX
6,CHG PROXIMITY,MAIN CONTACTOR,
7,HVIL IN,FORWARD,
8,HVIL OUT,REVERSE,
9,ENC +5V,ENC +5V,
10,ENC A,ENC A,
11,GND ,GND,
12,ACCEL 1 +5V,ACCEL 5V,
13,ACCEL 1,ACCEL INPUT,
14,ACCEL 2,BRAKE TRANSDUCER,
15,ACCEL 1 GND,ACCEL GND,
16,ENC B,ENC B,
17,ENC GND,ENC GND,
18,ENC SHIELD,ENC SHIELD,
19,CAN HIGH OUT,,LINKED IN THE AMPSEAL SOCKET TO PIN 4
20,CAN LOW OUT,,LINKED IN THE AMPSEAL SOCKET TO PIN 5
21,ACCEL 2 +5V,CRUISE IN,
22,ACCEL 2 GND,GND,
23,12V ALWAYS T30,START,
