Part,ID,Value,Device,PDF
CPU,,,STM32-H103,https://www.olimex.com/Products/ARM/ST/STM32-H103/resources/STM32-H103.pdf
C1,4,1nF,,
C2,4,1nF,,
C3,4,1nF,,
C4,2,1µ,C-EU025-024X044,
C5,4,1nF,,
C6,2,1µ,C-EU025-024X044,
C7,4,1nF,,
C8,3,10µ,,
C9,2,1µ,C-EU025-024X044,
C10,2,1µ,C-EU025-024X044,
C11,2,1µ,C-EU025-024X044,
C12,2,1µ,C-EU025-024X044,
C13,2,1µ,C-EU025-024X044,
C14,2,1µ,C-EU025-024X044,
C15,2,1µ,C-EU025-024X044,
C16,2,1µ,C-EU025-024X044,
C17,2,1µ,C-EU025-024X044,
C18,2,1µ,C-EU025-024X044,
C19,2,1µ,C-EU025-024X044,
C20,2,1µ,C-EU025-024X044,
C21,7,680µ,CPOL-EUE2.5-5,
C22,5,0.1µ,,
C23,2,1µ,,
C24,6,220µ,CPOL-EUE2-4,
D1,9,,SB540E-G,
IC1,51,,ULN2003AN,
IC2,45,,LM2901,
IC3,30,,SN74AS30N,
IC4,31,,LM2596,
IC5,52,,MCP2562P,
J1,,,J5MM,
JP1,39,,PINHD-2X13,
JP2,39,,PINHD-2X13,
JP3,37,,PINHD-2X7,
JP4,36,,PINHD-2X8,
JP5,38,,PINHD-2X13,
JP6,35,,PINHD-1X4,
L1,14,50µH,,
R1,18,500R,,
R2,19,10k,R-EU_0207/10,
R3,18,500R,,
R4,18,500R,,
R5,19,10k,R-EU_0207/10,
R6,19,10k,R-EU_0207/10,
R7,15,120R,,
R8,19,10k,R-EU_0207/10,
R9,29,3.3k,,
R10,19,10k,R-EU_0207/10,
R11,19,10k,R-EU_0207/10,
R12,19,10k,R-EU_0207/10,
R13,29,3.3k,,
R14,18,500R,,
R15,18,500R,,
R16,19,10k,R-EU_0207/10,
R17,19,10k,R-EU_0207/10,
R18,19,10k,R-EU_0207/10,
R19,19,10k,R-EU_0207/10,
R20,19,10k,R-EU_0207/10,
R21,19,10k,R-EU_0207/10,
RN1,25,4.7k,8R-N,
RN2,26,1.2k,RN08,
T1,11,,BC547,https://www.arduino.cc/documents/datasheets/BC547.pdf
T2,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T3,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T4,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T5,12,,ZTX1049A,http://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T6,11,,BC547,https://www.arduino.cc/documents/datasheets/BC547.pdf
