Part,Value,Package,PDF
CPU,STM32-H103,,https://www.olimex.com/Products/ARM/ST/STM32-H103/resources/STM32-H103.pdf
C1,1nF,102,
C2,1nF,102,
C3,1nF,102,
C4,1uF,105,
C5,1nF,102,
C6,1uF,105,
C7,1nF,102,
C8,10uF,4x4 mm,
C9,1uF,105,
C10,1uF,105,
C11,1uF,105,
C12,1uF,105,
C13,1uF,105,
C14,1uF,105,
C15,1uF,105,
C16,1uF,105,
C17,1uF,105,
C18,1uF,105,
C19,1uF,105,
C20,1uF,105,
C21,680uF,5x5 mm,
C22,0.1uF,104,
C23,1uF,105,
C24,220uF,4x4 mm,
D1,SB540E-G,DO201T15,https://www.sirectsemi.com/pdf/SB540E~SB5100E-DO27.pdf
IC1,ULN2003AN,DIP-16,https://www.ti.com/lit/ds/symlink/uln2003a.pdf
IC2,LM2901,DIP-14,https://www.ti.com/lit/ds/symlink/lm2901.pdf
IC3,SN74AS30N/74F00,DIP-14,https://www.ti.com/lit/ds/symlink/sn74f00.pdf
IC4,LM2596TV,TO220-51,https://www.ti.com/lit/ds/symlink/lm2596.pdf
IC5,MCP2562P,,
J1,J5MM,,
JP1,PINHD-2X13,2x13,
JP2,PINHD-2X13,2x13,
JP3,PINHD-2X7,2x7,
JP4,PINHD-2X8,2x8,
JP5,PINHD-2X13,2x13,
JP6,PINHD-1X4,1x4,
L1,50uH,,
R1,500R,,
R2,10k,,
R3,500R,,
R4,500R,,
R5,10k,,
R6,10k,,
R7,120R,,
R8,10k,,
R9,3.3k,,
R10,10k,,
R11,10k,,
R12,10k,,
R13,3.3k,,
R14,500R,,
R15,500R,,
R16,10k,,
R17,10k,,
R18,10k,,
R19,10k,,
R20,10k,,
R21,10k,,
RN1,M8340102K4701GB/4116R (4.7k),DIP-16,https://www.bourns.com/data/global/pdfs/4100R.pdf
RN2,1.2k,RN-9,
T1,BC548/BC547,TO-92,https://www.arduino.cc/documents/datasheets/BC547.pdf
T2,STX724/ZTX1049A/STX724,TO-92,https://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T3,STX724/ZTX1049A/STX724,TO-92,https://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T4,STX724/ZTX1049A/STX724,TO-92,https://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T5,STX724/ZTX1049A/STX724,TO-92,https://www.diodes.com/_files/datasheets/ZTX1049A.pdf
T6,BC548/BC547,TO-92,https://www.arduino.cc/documents/datasheets/BC547.pdf
