Part,Value,Package,PDF
C1,100nF,104,pcb/Capacitor-Tags.pdf
C2,100nF,104,pcb/Capacitor-Tags.pdf
C3,100uF,6x6,
C4,100uF,6x6,
C5,100uF,6x6,
C6,100uF,6x6,
C7,100uF,6x6,
C8,100uF,6x6,
D1,P6KE15CA,DO-204AC,https://www.st.com/resource/en/datasheet/p6ke.pdf
D2,P6KE15CA,DO-204AC,https://www.st.com/resource/en/datasheet/p6ke.pdf
DC1,RH-051509D/MGJ2D051509SC,,https://ie.ariat-tech.com/datasheet/a8/REC3-1212SRW-H6-A.pdf
DC2,RH-051509D/MGJ2D051509SC,,https://ie.ariat-tech.com/datasheet/a8/REC3-1212SRW-H6-A.pdf
IC1,HCPL3120/Si8261BCC/FOD3182,,https://www.mouser.com/ds/2/149/FOD3182-93828.pdf
IC2,HCPL3120/Si8261BCC/FOD3182,,https://www.mouser.com/ds/2/149/FOD3182-93828.pdf
R1,220R,1/4W,
R2,220R,1/4W,
R3,4.7R,1/2W,
R4,10k,1/4W,
R5,10k,1/4W,
R6,4.7R,1/2W,
