Part,Value,Package,LCSC Part #
ALIVE,GREEN,LED_0603_GN,C84256
PWR,RED,LED_0603_GN,C84256
C1,10uF,C0805,C15850
C2,10uF,C0805,C15850
C22,10uF,C0805,C15850
C46,10uF,C0805,C15850
C11,1nF,C0603,C46653
C12,1nF,C0603,C46653
C38,1nF,C0603,C46653
C41,1nF,C0603,C46653
C42,1nF,C0603,C46653
C8,470uF,SMD-ECAP-10x10,C176672
C20,470uF,SMD-ECAP-6.3X7.7,C134738
C45,330uF,SMD-ECAP-6.3X7.7,C134823
C26,22p,C0603,C1804
C27,22p,C0603,C1804
C3,1uF,C0603,C28323
C4,1uF,C0603,C28323
C5,1uF,C0603,C28323
C6,1uF,C0603,C28323
C7,1uF,C0603,C28323
C9,1uF,C0603,C28323
C10,1uF,C0603,C28323
C13,1uF,C0603,C28323
C14,1uF,C0603,C28323
C15,1uF,C0603,C28323
C16,1uF,C0603,C28323
C17,1uF,C0603,C28323
C19,1uF,C0603,C28323
C21,1uF,C0603,C28323
C23,1uF,C0603,C28323
C24,1uF,C0603,C28323
C25,1uF,C0603,C28323
C28,1uF,C0603,C28323
C29,1uF,C0603,C28323
C30,1uF,C0603,C28323
C31,1uF,C0603,C28323
C32,1uF,C0603,C28323
C33,1uF,C0603,C28323
C39,1uF,C0603,C28323
C40,1uF,C0603,C28323
C43,1uF,C0603,C28323
C48,1uF,C0603,C28323
C34,22n,C0603,C21122
C35,22n,C0603,C21122
C36,22n,C0603,C21122
C37,22n,C0603,C21122
C44,22n,C0603,C21122
C47,22n,C0603,C21122
D1,CDBA540-HF,SMB,C22452
D2,CDBA540-HF,SMB,C22452
D3,SBR1A40S3-7,SOD-323F,C2128
IC1,LM2596S,TO263-5,C10002
IC2,TDA2822D,SO08,C73296
IC3,SN65HVD230,SO08,C12084
IC4,STM32F103RBT6,LQFP-64_10.0x10.0x0.5P,C8735
IC5,MIC2288YD5,SOT23-5L,C7722
IC6,ULN2003AD,SO16,C7512
IC7,LM2901,SO14,C142961
IC8,AMS1117-3.3,SOT-223,C6186
IC9,SN74LVC1G10,SOT-23-6,C258149
L1,10uH,L0805,C1046
L3,10uH,L0805,C1046
L4,10uH,L1210,C86069
L2,47uH,SMD-PIND-12.5x12.5x8_2.9x5.4,C169389
Q1,8MHz,SMD-5032_2P,C115962
R1,220R,R0603,C22962
R10,1.2k,R0603,C22765
R12,1.2k,R0603,C22765
R13,1.2k,R0603,C22765
R19,1.2k,R0603,C22765
R23,1.2k,R0603,C22765
R26,1.2k,R0603,C22765
R27,1.2k,R0603,C22765
R29,1.2k,R0603,C22765
R11,510R,R0603,C23193
R15,510R,R0603,C23193
R16,510R,R0603,C23193
R17,510R,R0603,C23193
R18,510R,R0603,C23193
R32,510R,R0603,C23193
R33,510R,R0603,C23193
R36,510R,R0603,C23193
R40,510R,R0603,C23193
R14,10k,R0603,C17414
R20,10k,R0603,C17414
R21,10k,R0603,C17414
R22,10k,R0603,C17414
R24,10k,R0603,C17414
R25,10k,R0603,C17414
R31,10k,R0603,C17414
R37,10k,R0603,C17414
R38,10k,R0603,C17414
R39,10k,R0603,C17414
R41,10k,R0603,C17414
R43,10k,R0603,C17414
R45,10k,R0603,C17414
R46,10k,R0603,C17414
R47,10k,R0603,C17414
R2,3.3k,R0603,C26010
R3,3.3k,R0603,C26010
R4,3.3k,R0603,C26010
R6,3.3k,R0603,C26010
R7,3.3k,R0603,C26010
R8,3.3k,R0603,C26010
R9,3.3k,R0603,C26010
R35,3.3k,R0603,C26010
R42,3.3k,R0603,C26010
R44,3.3k,R0603,C26010
R48,3.3k,R0603,C26010
R49,3.3k,R0603,C26010
R5,4.7k,R0603,C17673
R50,4.7k,R0603,C17673
R51,4.7k,R0603,C17673
R52,10R,R0603,C22859
T1,AP9T18GH-HF,TO-252-2,C124546
